file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_04310_00441914819-clf_09697_011411,26.38,3.93,0.00,0.08,0.01,[0 0 0 1 1 1 1 1 0 1 1 0 1 0 1 0]
CycleGAN-arf_04310_00441914819-com_00610_011268,28.56,4.34,0.00,0.08,0.01,[0 1 1 0 1 1 1 0 1 0 0 1 0 1 1 1]
CycleGAN-arf_04310_00441914819-pef_07049_000937,29.68,4.12,0.00,0.08,0.01,[0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0]
CycleGAN-arf_04310_00441914819-pem_02436_015928,29.71,4.22,0.00,0.08,0.01,[0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0]
CycleGAN-arf_04310_00441914819-pem_04310_005384,26.63,3.90,0.00,0.08,0.01,[1 0 1 1 0 0 0 1 0 1 0 1 1 1 1 1]
CycleGAN-arf_04310_00889588539-arm_00610_010536,24.83,4.05,0.00,0.09,0.01,[0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 1]
CycleGAN-arf_04310_00889588539-arm_01523_002040,24.01,3.86,0.00,0.08,0.01,[1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1]
CycleGAN-arf_04310_00889588539-arm_07508_013773,22.57,3.57,0.00,0.09,0.01,[0 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1]
CycleGAN-arf_04310_00889588539-clm_02121_007659,23.05,3.71,0.00,0.08,0.01,[1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 0]
CycleGAN-arf_04310_00889588539-clm_04310_000186,26.54,4.26,0.00,0.08,0.01,[1 0 0 0 0 1 0 1 0 0 1 1 1 0 1 0]
CycleGAN-arf_04310_00889588539-com_02436_007971,25.68,4.16,0.00,0.08,0.02,[0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1]
CycleGAN-arf_04310_00889588539-pef_07049_015061,26.79,4.05,0.00,0.08,0.02,[1 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1]
CycleGAN-arf_04310_00889588539-vef_02484_002973,20.48,3.35,0.00,0.09,0.02,[1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 0]
CycleGAN-arf_04310_00889588539-vem_05223_015569,25.22,4.36,0.00,0.09,0.01,[0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 1]
CycleGAN-arf_04310_01042568557-cof_00610_009153,25.22,3.98,0.00,0.10,0.01,[0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 1]
CycleGAN-arf_04310_01042568557-vef_03397_001821,26.01,3.99,0.00,0.09,0.02,[0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 1]
CycleGAN-arf_04310_01042568557-vef_05223_002653,26.43,4.13,0.00,0.09,0.02,[1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
CycleGAN-arf_04310_01042568557-vem_06136_015806,26.64,4.49,0.00,0.09,0.02,[0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 0]
CycleGAN-arf_04310_01096266404-arm_01523_005617,27.75,3.79,0.00,0.08,0.03,[0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1]
CycleGAN-arf_04310_01096266404-arm_06136_014409,29.95,4.03,0.00,0.07,0.01,[1 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1]
CycleGAN-arf_04310_01096266404-cof_02484_006300,23.63,3.58,0.00,0.07,0.01,[1 1 0 1 0 0 1 0 1 1 0 1 1 1 0 1]
CycleGAN-arf_04310_01096266404-vef_03397_020044,27.06,3.96,0.00,0.08,0.01,[1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1]
CycleGAN-arf_04310_01096266404-vem_04310_011176,29.43,4.14,0.00,0.07,0.01,[1 1 1 1 0 0 1 0 0 1 1 1 0 0 1 0]
CycleGAN-arf_04310_01366244244-arf_02121_011245,27.48,3.44,0.00,0.08,0.01,[0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1]
CycleGAN-arf_04310_01366244244-clm_04310_016113,27.99,4.20,0.00,0.08,0.01,[1 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1]
CycleGAN-arf_04310_01366244244-clm_07049_005726,25.05,3.49,0.00,0.08,0.02,[1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1]
