file_name,ber,ber_opus_12k
CycleGAN-arm_04310_01845264076-clf_03397_014366,0.00,0.00
CycleGAN-arm_04310_01845264076-clf_07049_015389,0.00,0.00
CycleGAN-arm_04310_01845264076-clm_04310_021129,0.00,0.00
CycleGAN-arm_04310_01845264076-clm_07049_003825,0.00,0.00
CycleGAN-arm_04310_01845264076-pef_03397_001643,0.00,100.00
CycleGAN-arm_04310_01845264076-pem_01208_015392,0.00,0.00
CycleGAN-arm_04310_02061944894-clf_09697_006719,0.00,0.00
CycleGAN-arm_04310_02061944894-com_00610_004479,0.00,0.00
CycleGAN-arm_04310_02061944894-pef_03397_005823,0.00,0.00
CycleGAN-arm_04310_02061944894-pem_04310_018183,0.00,6.25
CycleGAN-arm_04310_02061944894-vef_05223_015811,0.00,0.00
CycleGAN-arm_04310_02061944894-vef_09697_003406,0.00,0.00
CycleGAN-arm_04310_02061944894-vem_05223_001996,0.00,0.00
CycleGAN-arm_05223_00121338561-arm_00610_003911,0.00,6.25
CycleGAN-arm_05223_00121338561-clf_04310_011129,0.00,12.50
CycleGAN-arm_05223_00121338561-cof_00610_004446,0.00,100.00
CycleGAN-arm_05223_00121338561-cof_02484_013823,0.00,100.00
CycleGAN-arm_05223_00121338561-pem_04310_012107,0.00,25.00
CycleGAN-arm_05223_00121338561-vef_09697_003399,0.00,100.00
CycleGAN-arm_05223_00298887499-arf_02436_013920,0.00,0.00
CycleGAN-arm_05223_00298887499-arm_06136_018267,0.00,0.00
CycleGAN-arm_05223_00298887499-clm_04310_000265,0.00,0.00
CycleGAN-arm_05223_00298887499-clm_08421_019874,0.00,0.00
CycleGAN-arm_05223_00298887499-cof_06136_015064,0.00,0.00
CycleGAN-arm_05223_00298887499-com_09334_018984,0.00,0.00
CycleGAN-arm_05223_00298887499-vef_05223_001338,0.00,0.00
CycleGAN-arm_05223_00493695940-arm_07508_001132,0.00,6.25
CycleGAN-arm_05223_00493695940-cof_06136_007609,0.00,6.25
CycleGAN-arm_05223_00493695940-pef_03397_017941,0.00,0.00
CycleGAN-arm_05223_00493695940-pef_07508_007080,0.00,12.50
CycleGAN-arm_05223_00493695940-vef_03397_012138,0.00,6.25
CycleGAN-arm_05223_00524760384-arm_06136_019696,0.00,6.25
CycleGAN-arm_05223_00524760384-clf_07049_013627,0.00,0.00
CycleGAN-arm_05223_00524760384-clm_02121_014152,0.00,0.00
CycleGAN-arm_05223_00524760384-clm_04310_014447,0.00,100.00
CycleGAN-arm_05223_00524760384-com_04310_019040,0.00,12.50
CycleGAN-arm_05223_00524760384-com_09334_000336,0.00,0.00
CycleGAN-arm_05223_00524760384-vef_05223_017696,0.00,12.50
CycleGAN-arm_05223_00558240710-arf_03397_002354,0.00,100.00
CycleGAN-arm_05223_00558240710-pef_01208_001740,0.00,100.00
CycleGAN-arm_05223_00558240710-pem_01208_012238,0.00,100.00
CycleGAN-arm_05223_00558240710-vef_05223_016464,0.00,100.00
CycleGAN-arm_05223_00783110099-arf_02436_019104,0.00,100.00
CycleGAN-arm_05223_00783110099-clm_08421_017529,0.00,0.00
CycleGAN-arm_05223_00783110099-cof_06136_009317,0.00,0.00
CycleGAN-arm_05223_00783110099-pef_07049_016947,0.00,0.00
CycleGAN-arm_05223_00783110099-pem_01208_016068,0.00,0.00
CycleGAN-arm_05223_00914796236-arm_07508_021347,0.00,100.00
CycleGAN-arm_05223_00914796236-clf_03397_003726,0.00,100.00
CycleGAN-arm_05223_00914796236-clf_09697_005002,0.00,12.50
CycleGAN-arm_05223_00914796236-clm_04310_019965,0.00,25.00
CycleGAN-arm_05223_00914796236-cof_08784_021340,0.00,0.00
CycleGAN-arm_05223_00914796236-pef_03397_002574,0.00,31.25
CycleGAN-arm_05223_00914796236-pem_01208_017874,0.00,100.00
CycleGAN-arm_05223_00914796236-vef_03397_004907,0.00,6.25
CycleGAN-arm_05223_00914796236-vef_05223_018923,0.00,100.00
CycleGAN-arm_05223_00914796236-vem_05223_020663,0.00,100.00
CycleGAN-arm_05223_00978529683-arf_02121_018856,0.00,0.00
CycleGAN-arm_05223_00978529683-com_04310_021340,0.00,6.25
CycleGAN-arm_05223_00978529683-pef_01208_006804,0.00,0.00
CycleGAN-arm_05223_00978529683-pef_03397_010706,0.00,0.00
CycleGAN-arm_05223_00978529683-vef_02484_017911,0.00,0.00
CycleGAN-arm_05223_01380072540-arm_00610_011712,0.00,0.00
CycleGAN-arm_05223_01380072540-cof_08784_020684,0.00,31.25
CycleGAN-arm_05223_01380072540-pef_03397_007793,0.00,100.00
CycleGAN-arm_05223_01380072540-pem_08784_010318,0.00,0.00
CycleGAN-arm_05223_01380072540-vef_02484_005933,0.00,0.00
CycleGAN-arm_05223_01800237801-arf_02121_010450,0.00,100.00
CycleGAN-arm_05223_01800237801-arm_06136_000958,0.00,6.25
CycleGAN-arm_05223_01800237801-clm_08421_020150,0.00,6.25
CycleGAN-arm_05223_01800237801-com_00610_016381,0.00,6.25
CycleGAN-arm_05223_01800237801-pef_07508_018296,0.00,0.00
CycleGAN-arm_08784_00379700365-com_04310_019081,0.00,6.25
CycleGAN-arm_08784_00379700365-pef_01208_012923,0.00,100.00
CycleGAN-arm_08784_00858307843-arm_01523_004250,0.00,6.25
CycleGAN-arm_08784_00858307843-clm_02121_003203,0.00,0.00
CycleGAN-arm_08784_00858307843-pem_02436_014023,0.00,6.25
CycleGAN-arm_08784_00858307843-vef_03397_005838,0.00,0.00
CycleGAN-arm_08784_00858307843-vem_04310_010150,0.00,100.00
CycleGAN-arm_08784_00958898719-cof_06136_005937,0.00,0.00
CycleGAN-arm_08784_00958898719-com_00610_008123,0.00,18.75
CycleGAN-arm_08784_00958898719-pef_03397_013706,0.00,0.00
CycleGAN-arm_08784_00974401258-arf_02436_003330,0.00,0.00
CycleGAN-arm_08784_00974401258-pem_02436_002360,0.00,0.00
CycleGAN-arm_08784_00974401258-pem_04310_016187,0.00,0.00
CycleGAN-arm_08784_00974401258-vef_02484_003086,0.00,0.00
CycleGAN-arm_08784_01058192871-arf_03397_001903,0.00,12.50
CycleGAN-arm_08784_01058192871-pef_07508_018984,0.00,0.00
CycleGAN-arm_08784_01058192871-vef_02484_019860,0.00,0.00
CycleGAN-arm_08784_01058192871-vef_05223_008290,0.00,12.50
CycleGAN-arm_08784_01058192871-vem_05223_009085,0.00,0.00
CycleGAN-arm_08784_01373143515-cof_06136_009031,0.00,0.00
CycleGAN-arm_08784_01373143515-cof_08784_001991,0.00,0.00
CycleGAN-arm_08784_01373143515-com_00610_002697,0.00,0.00
CycleGAN-arm_08784_01373143515-com_04310_015857,0.00,0.00
CycleGAN-arm_08784_01373143515-vef_03397_008545,0.00,6.25
CycleGAN-arm_08784_01538233676-arm_01523_011033,0.00,0.00
CycleGAN-arm_08784_01538233676-arm_06136_005270,0.00,12.50
CycleGAN-arm_08784_01538233676-clm_07049_017276,0.00,0.00
CycleGAN-arm_08784_01538233676-com_04310_005301,0.00,6.25
